state,level,gender,out_turn
Lakshadweep,M.Phil.,Male,0
Lakshadweep,M.Phil.,Female,0
Lakshadweep,M.Phil.,Total,0
Lakshadweep,Post Graduate,Male,0
Lakshadweep,Post Graduate,Female,0
Lakshadweep,Post Graduate,Total,0
Lakshadweep,Under Graduate,Male,3
Lakshadweep,Under Graduate,Female,23
Lakshadweep,Under Graduate,Total,26
Lakshadweep,PG Diploma,Male,0
Lakshadweep,PG Diploma,Female,0
Lakshadweep,PG Diploma,Total,0
Lakshadweep,Diploma,Male,0
Lakshadweep,Diploma,Female,0
Lakshadweep,Diploma,Total,0
Lakshadweep,Certificate,Male,0
Lakshadweep,Certificate,Female,0
Lakshadweep,Certificate,Total,0
Lakshadweep,Integrated,Male,0
Lakshadweep,Integrated,Female,0
Lakshadweep,Integrated,Total,0
Madhya Pradesh,Ph.D.,Male,779
Madhya Pradesh,Ph.D.,Female,619
Madhya Pradesh,Ph.D.,Total,1398
Madhya Pradesh,M.Phil.,Male,52
Madhya Pradesh,M.Phil.,Female,85
Madhya Pradesh,M.Phil.,Total,137
Madhya Pradesh,Post Graduate,Male,59998
Madhya Pradesh,Post Graduate,Female,76021
Madhya Pradesh,Post Graduate,Total,136019
Madhya Pradesh,Under Graduate,Male,268944
Madhya Pradesh,Under Graduate,Female,248424
Madhya Pradesh,Under Graduate,Total,517368
Madhya Pradesh,PG Diploma,Male,13219
Madhya Pradesh,PG Diploma,Female,12847
Madhya Pradesh,PG Diploma,Total,26066
Madhya Pradesh,Diploma,Male,45563
Madhya Pradesh,Diploma,Female,33307
Madhya Pradesh,Diploma,Total,78870
Madhya Pradesh,Certificate,Male,611
Madhya Pradesh,Certificate,Female,294
Madhya Pradesh,Certificate,Total,905
Madhya Pradesh,Integrated,Male,2434
Madhya Pradesh,Integrated,Female,2168
Madhya Pradesh,Integrated,Total,4602
Maharashtra,Ph.D.,Male,1310
Maharashtra,Ph.D.,Female,852
Maharashtra,Ph.D.,Total,2162
Maharashtra,M.Phil.,Male,101
Maharashtra,M.Phil.,Female,104
Maharashtra,M.Phil.,Total,205
Maharashtra,Post Graduate,Male,88237
Maharashtra,Post Graduate,Female,101105
Maharashtra,Post Graduate,Total,189342
Maharashtra,Under Graduate,Male,485702
Maharashtra,Under Graduate,Female,403376
Maharashtra,Under Graduate,Total,889078
Maharashtra,PG Diploma,Male,7498
Maharashtra,PG Diploma,Female,6400
Maharashtra,PG Diploma,Total,13898
Maharashtra,Diploma,Male,58598
Maharashtra,Diploma,Female,34721
Maharashtra,Diploma,Total,93319
Maharashtra,Certificate,Male,6057
Maharashtra,Certificate,Female,3133
Maharashtra,Certificate,Total,9190
Maharashtra,Integrated,Male,1924
Maharashtra,Integrated,Female,1932
Maharashtra,Integrated,Total,3856
Manipur,Ph.D.,Male,55
Manipur,Ph.D.,Female,52
Manipur,Ph.D.,Total,107
Manipur,M.Phil.,Male,1
Manipur,M.Phil.,Female,5
Manipur,M.Phil.,Total,6
Manipur,Post Graduate,Male,870
Manipur,Post Graduate,Female,1269
Manipur,Post Graduate,Total,2139
Manipur,Under Graduate,Male,10261
Manipur,Under Graduate,Female,10365
Manipur,Under Graduate,Total,20626
Manipur,PG Diploma,Male,43
Manipur,PG Diploma,Female,78
Manipur,PG Diploma,Total,121
Manipur,Diploma,Male,149
Manipur,Diploma,Female,231
Manipur,Diploma,Total,380
Manipur,Certificate,Male,0
Manipur,Certificate,Female,0
Manipur,Certificate,Total,0
Manipur,Integrated,Male,0
