discipline,social_category,gender,out_turn
Oriental Learning,Other Backward Classes,Total,4621
Oriental Learning,Persons with Disability,Male,3
Oriental Learning,Persons with Disability,Female,1
Oriental Learning,Persons with Disability,Total,4
Oriental Learning,Muslim,Male,27
Oriental Learning,Muslim,Female,17
Oriental Learning,Muslim,Total,44
Oriental Learning,Other Minority Communities,Male,119
Oriental Learning,Other Minority Communities,Female,61
Oriental Learning,Other Minority Communities,Total,180
Oriental Learning,EWS,Male,44
Oriental Learning,EWS,Female,26
Oriental Learning,EWS,Total,70
Others,All Categories,Male,550072
Others,All Categories,Female,279228
Others,All Categories,Total,829300
Others,Scheduled Caste,Male,75717
Others,Scheduled Caste,Female,37511
Others,Scheduled Caste,Total,113228
Others,Scheduled Tribe,Male,30335
Others,Scheduled Tribe,Female,20776
Others,Scheduled Tribe,Total,51111
Others,Other Backward Classes,Male,195005
Others,Other Backward Classes,Female,87870
Others,Other Backward Classes,Total,282875
Others,Persons with Disability,Male,897
Others,Persons with Disability,Female,314
Others,Persons with Disability,Total,1211
Others,Muslim,Male,18343
Others,Muslim,Female,6604
Others,Muslim,Total,24947
Others,Other Minority Communities,Male,8779
Others,Other Minority Communities,Female,5143
Others,Other Minority Communities,Total,13922
Others,EWS,Male,4335
Others,EWS,Female,2486
Others,EWS,Total,6821
Paramedical Science,All Categories,Male,42363
Paramedical Science,All Categories,Female,181133
Paramedical Science,All Categories,Total,223496
Paramedical Science,Scheduled Caste,Male,6223
Paramedical Science,Scheduled Caste,Female,34969
Paramedical Science,Scheduled Caste,Total,41192
Paramedical Science,Scheduled Tribe,Male,2650
Paramedical Science,Scheduled Tribe,Female,15927
Paramedical Science,Scheduled Tribe,Total,18577
Paramedical Science,Other Backward Classes,Male,11662
Paramedical Science,Other Backward Classes,Female,48194
Paramedical Science,Other Backward Classes,Total,59856
Paramedical Science,Persons with Disability,Male,88
Paramedical Science,Persons with Disability,Female,366
Paramedical Science,Persons with Disability,Total,454
Paramedical Science,Muslim,Male,1351
Paramedical Science,Muslim,Female,3223
Paramedical Science,Muslim,Total,4574
Paramedical Science,Other Minority Communities,Male,1027
Paramedical Science,Other Minority Communities,Female,6943
Paramedical Science,Other Minority Communities,Total,7970
Paramedical Science,EWS,Male,401
Paramedical Science,EWS,Female,1368
Paramedical Science,EWS,Total,1769
Physical Education,All Categories,Male,21237
Physical Education,All Categories,Female,9297
Physical Education,All Categories,Total,30534
Physical Education,Scheduled Caste,Male,2811
Physical Education,Scheduled Caste,Female,1367
Physical Education,Scheduled Caste,Total,4178
Physical Education,Scheduled Tribe,Male,1202
Physical Education,Scheduled Tribe,Female,610
Physical Education,Scheduled Tribe,Total,1812
Physical Education,Other Backward Classes,Male,6031
Physical Education,Other Backward Classes,Female,2954
Physical Education,Other Backward Classes,Total,8985
Physical Education,Persons with Disability,Male,0
Physical Education,Persons with Disability,Female,0
Physical Education,Persons with Disability,Total,0
Physical Education,Muslim,Male,405
Physical Education,Muslim,Female,111
Physical Education,Muslim,Total,516
Physical Education,Other Minority Communities,Male,273
Physical Education,Other Minority Communities,Female,156
Physical Education,Other Minority Communities,Total,429
Physical Education,EWS,Male,170
Physical Education,EWS,Female,87
Physical Education,EWS,Total,257
Science,All Categories,Male,790667
Science,All Categories,Female,965274
Science,All Categories,Total,1755941
Science,Scheduled Caste,Male,101303
Science,Scheduled Caste,Female,116160
Science,Scheduled Caste,Total,217463
Science,Scheduled Tribe,Male,41306
Science,Scheduled Tribe,Female,47586
Science,Scheduled Tribe,Total,88892
Science,Other Backward Classes,Male,311477
Science,Other Backward Classes,Female,411059
Science,Other Backward Classes,Total,722536
Science,Persons with Disability,Male,668
Science,Persons with Disability,Female,712
Science,Persons with Disability,Total,1380
Science,Muslim,Male,23145
Science,Muslim,Female,33664
Science,Muslim,Total,56809
Science,Other Minority Communities,Male,10580
Science,Other Minority Communities,Female,20652
Science,Other Minority Communities,Total,31232
Science,EWS,Male,7507
Science,EWS,Female,10834
Science,EWS,Total,18341
Social Science,All Categories,Male,290
Social Science,All Categories,Female,163
Social Science,All Categories,Total,453
Social Science,Scheduled Caste,Male,23
Social Science,Scheduled Caste,Female,11
Social Science,Scheduled Caste,Total,34
Social Science,Scheduled Tribe,Male,39
Social Science,Scheduled Tribe,Female,41
Social Science,Scheduled Tribe,Total,80
Social Science,Other Backward Classes,Male,151
Social Science,Other Backward Classes,Female,65
Social Science,Other Backward Classes,Total,216
Social Science,Persons with Disability,Male,0
Social Science,Persons with Disability,Female,1
Social Science,Persons with Disability,Total,1
Social Science,Muslim,Male,0
Social Science,Muslim,Female,2
Social Science,Muslim,Total,2
Social Science,Other Minority Communities,Male,18
Social Science,Other Minority Communities,Female,15
Social Science,Other Minority Communities,Total,33
Social Science,EWS,Male,6
Social Science,EWS,Female,7
Social Science,EWS,Total,13
Social Work,All Categories,Male,14426
Social Work,All Categories,Female,16593
Social Work,All Categories,Total,31019
Social Work,Scheduled Caste,Male,3073
Social Work,Scheduled Caste,Female,2937
Social Work,Scheduled Caste,Total,6010
Social Work,Scheduled Tribe,Male,2821
Social Work,Scheduled Tribe,Female,2902
Social Work,Scheduled Tribe,Total,5723
Social Work,Other Backward Classes,Male,4450
Social Work,Other Backward Classes,Female,4958
Social Work,Other Backward Classes,Total,9408
Social Work,Persons with Disability,Male,13
Social Work,Persons with Disability,Female,7
Social Work,Persons with Disability,Total,20
Social Work,Muslim,Male,158
Social Work,Muslim,Female,219
Social Work,Muslim,Total,377
Social Work,Other Minority Communities,Male,418
Social Work,Other Minority Communities,Female,754
Social Work,Other Minority Communities,Total,1172
Social Work,EWS,Male,68
Social Work,EWS,Female,103
Social Work,EWS,Total,171
Veterinary & Animal Sciences,All Categories,Male,2995
Veterinary & Animal Sciences,All Categories,Female,2380
Veterinary & Animal Sciences,All Categories,Total,5375
Veterinary & Animal Sciences,Scheduled Caste,Male,350
Veterinary & Animal Sciences,Scheduled Caste,Female,257
Veterinary & Animal Sciences,Scheduled Caste,Total,607
Veterinary & Animal Sciences,Scheduled Tribe,Male,201
Veterinary & Animal Sciences,Scheduled Tribe,Female,203
Veterinary & Animal Sciences,Scheduled Tribe,Total,404
Veterinary & Animal Sciences,Other Backward Classes,Male,1098
Veterinary & Animal Sciences,Other Backward Classes,Female,776
Veterinary & Animal Sciences,Other Backward Classes,Total,1874
Veterinary & Animal Sciences,Persons with Disability,Male,10
Veterinary & Animal Sciences,Persons with Disability,Female,3
Veterinary & Animal Sciences,Persons with Disability,Total,13
Veterinary & Animal Sciences,Muslim,Male,159
Veterinary & Animal Sciences,Muslim,Female,82
Veterinary & Animal Sciences,Muslim,Total,241
Veterinary & Animal Sciences,Other Minority Communities,Male,101
Veterinary & Animal Sciences,Other Minority Communities,Female,103
Veterinary & Animal Sciences,Other Minority Communities,Total,204
Veterinary & Animal Sciences,EWS,Male,21
Veterinary & Animal Sciences,EWS,Female,10
Veterinary & Animal Sciences,EWS,Total,31
